response,intent
imperfection,negative
perilously,negative
repulsively,negative
ordeal,negative
hypocritically,negative
expunge,negative
miracle,positive
tantalizing,positive
injudicious,negative
unyielding,negative
eloquently,positive
obstruct,negative
intermittent,negative
dizzingly,negative
blurring,negative
understandable,positive
naive,negative
exclusion,negative
thrillingly,positive
flatter,positive
invasive,negative
victory,positive
pugnaciously,negative
purposeful,positive
energy-saving,positive
unthinkable,negative
smells,negative
hearten,positive
upheld,positive
decency,positive
carefree,positive
loss,negative
spoon-fed,negative
argumentative,negative
evenly,positive
isolate,negative
discourteously,negative
best,positive
obsessions,positive
restructuring,positive
stuffy,negative
myth,negative
superfluous,negative
goad,negative
fun,positive
gimmicks,negative
appealing,positive
pitiless,negative
swankiest,positive
misstatement,negative
ungrateful,negative
mercy,positive
gratification,positive
flaw,negative
flawless,positive
hurt,negative
record-setting,positive
jitters,negative
jutter,negative
ignore,negative
disapointed,negative
regally,positive
foolish,negative
sucks,negative
unfunded,negative
regrets,negative
nicely,positive
concerns,negative
impartial,positive
irresistible,positive
egregious,negative
suspicious,negative
acclaimed,positive
I met my cousin today and i feel so good,positive
chore,negative
positively,positive
dissing,negative
deviation,negative
beguile,negative
castrated,negative
badly,negative
freeze,negative
over-awe,negative
inadequately,negative
discriminate,negative
anger,negative
errant,negative
well-received,positive
frustrations,negative
disgruntled,negative
twinkly,positive
haphazard,negative
goodwill,positive
worsen,negative
excruciating,negative
dependable,positive
protect,positive
pain,negative
ecstasies,positive
impossiblity,negative
glee,positive
lacks,negative
I cannot tolerate that person anymore,negative
snappish,negative
collapse,negative
blissful,positive
exultingly,positive
dominated,positive
unimaginably,negative
prefered,positive
degrade,negative
autocratic,negative
excelent,positive
dick,negative
calamitous,negative
cruelly,negative
shrilly,negative
peps,positive
fist,negative
breathtaking,positive
worry,negative
infamous,negative
dimmer,negative
losses,negative
disturbance,negative
credible,positive
dreary,negative
wise,positive
durable,positive
unwarranted,negative
impotent,negative
slack,negative
luckier,positive
ignominiously,negative
galling,negative
frozen,negative
outperformed,positive
delirium,negative
compassion,positive
twist,negative
supporting,positive
majesty,positive
coercion,negative
blundering,negative
fetid,negative
unorthodoxy,negative
spooky,negative
fiction,negative
plentiful,positive
consternation,negative
drain,negative
infirm,negative
uneconomical,negative
obscenity,negative
perplexity,negative
wondrous,positive
bemused,negative
feat,positive
unequal,negative
confounded,negative
irreplacible,negative
decrepit,negative
gainsay,negative
effortlessly,positive
lovely,positive
unhappiness,negative
browbeat,negative
strict,negative
dismayed,negative
bad,negative
spade,negative
ravage,negative
unrestricted,positive
attractive,positive
savior,positive
irredeemably,negative
hysteria,negative
midget,negative
defamations,negative
blab,negative
heck,negative
wild,negative
electrify,positive
wreak,negative
abrade,negative
barbaric,negative
fraud,negative
overpower,negative
callous,negative
responsive,positive
fat-cats,negative
unavailable,negative
unneeded,negative
din,negative
beneficiary,positive
cancerous,negative
tickle,positive
detraction,negative
pride,positive
abuses,negative
preoccupy,negative
incessant,negative
straining,negative
bruise,negative
fearless,positive
detract,negative
morons,negative
mangles,negative
jealously,negative
grim,negative
irreformable,negative
covetous,negative
I had a fight with my father,negative
exellent,positive
severe,negative
snub,negative
leaking,negative
protesting,negative
inequality,negative
illusion,negative
obscure,negative
I am feeling worst,negative
unconvincing,negative
oppose,negative
I got bullied today,negative
bonny,positive
pout,negative
flawlessly,positive
backward,negative
foremost,positive
tempt,positive
worthless,negative
yay,positive
reproach,negative
charmingly,positive
unproving,negative
bastard,negative
unthinkably,negative
phony,negative
enchanted,positive
mortifying,negative
addicts,negative
miseries,negative
benefactor,positive
no one likes me because of my economic status and no one wants to talk to me also,negative
infidels,negative
monotonous,negative
displaced,negative
I am feeling boring,negative
picket,negative
brutally,negative
unwisely,negative
grateful,positive
fractiously,negative
obsessive,negative
monstrously,negative
pandemonium,negative
distraught,negative
anxiousness,negative
glibly,negative
deprecate,negative
prick,negative
spiritual,positive
I am feeling horny,positive
unraveled,negative
ax,negative
sugarcoated,negative
ineffectively,negative
growl,negative
melancholy,negative
unrelentingly,negative
headaches,negative
favor,positive
kooky,negative
intoxicate,negative
indignant,negative
abundant,positive
fancy,positive
stiflingly,negative
jubilation,positive
fustigate,negative
painful,negative
downfallen,negative
handily,positive
disoobedient,negative
divisive,negative
worryingly,negative
famously,positive
risk,negative
plight,negative
hothouse,negative
mind-blowing,positive
sickeningly,negative
convenient,positive
brilliances,positive
honoring,positive
insensible,negative
berate,negative
implausible,negative
acerbate,negative
hotbeds,negative
testily,negative
I am feeling worthy,positive
hindrance,negative
death,negative
fortitude,positive
defiler,negative
enticing,positive
irregularity,negative
disorder,negative
disrespect,negative
attune,positive
encouraging,positive
partiality,negative
celebratory,positive
rude,negative
endanger,negative
supremacy,positive
stabilize,positive
saintliness,positive
brutalising,negative
top,positive
sarcasm,negative
streamlined,positive
ugliness,negative
auspicious,positive
suitable,positive
delays,negative
impulsive,negative
inconsistency,negative
infections,negative
uncertain,negative
die-hard,negative
flourish,positive
crumple,negative
better-known,positive
overtaxed,negative
polished,positive
tiringly,negative
I am feeling nice,positive
slumping,negative
foe,negative
wayward,negative
selfinterested,negative
uneventful,negative
improved,positive
overdue,negative
outcast,negative
avariciously,negative
dropouts,negative
limit,negative
choke,negative
immovable,negative
inimical,negative
daze,negative
divisiveness,negative
tarnish,negative
atrocities,negative
champ,positive
troubles,negative
exhorbitant,negative
hail,positive
embarrassing,negative
tetchy,negative
inexperience,negative
immodest,negative
subsidize,positive
unacceptablely,negative
morbid,negative
occlude,negative
aspirations,positive
blotchy,negative
brilliance,positive
calumniation,negative
useable,positive
corrupted,negative
drab,negative
grapple,negative
hypocrisy,negative
exultation,positive
overtakes,positive
infamy,negative
irksomeness,negative
progressive,positive
fear,negative
eminent,positive
loathe,negative
encouragingly,positive
hates,negative
crazy,negative
disbelieve,negative
insular,negative
stresses,negative
hardier,positive
incompatibility,negative
illogical,negative
incognizant,negative
admiring,positive
lech,negative
sensation,positive
censure,negative
uplifting,positive
immoral,negative
honored,positive
laudable,positive
weary,negative
I am feeling normal,positive
transparent,positive
I am feeling disconnected,negative
affordable,positive
mockery,negative
distracting,negative
overzealously,negative
hustler,negative
corrupting,negative
manipulative,negative
infested,negative
brilliant,positive
spendy,negative
acclamation,positive
valor,positive
grieve,negative
spoon-feed,negative
eagerly,positive
fruitlessly,negative
contention,negative
disarray,negative
fastest,positive
law-abiding,positive
I am feeling uncomfortable,negative
individualized,positive
pitiful,negative
idolized,positive
dote,positive
weaken,negative
Today I was on cloud nine as the girl I love came to me and sat beside me. She also asked for my number in case she has some doubts,positive
loath,negative
shemale,negative
villains,negative
barren,negative
enticingly,positive
fruitful,positive
obliterate,negative
questionable,negative
peppy,positive
appall,negative
irretating,negative
leads,positive
dignified,positive
reputable,positive
rail,negative
insufferable,negative
repugnance,negative
discombobulate,negative
hysteric,negative
sprightly,positive
dastard,negative
jagged,negative
offenses,negative
weed,negative
conservative,negative
aloof,negative
collude,negative
appreciable,positive
glad,positive
reluctantly,negative
respectful,positive
wreck,negative
vilify,negative
prohibitively,negative
hinder,negative
less-developed,negative
lovably,positive
imperfect,negative
rumbling,negative
fatigued,negative
enjoyed,positive
despotism,negative
murderously,negative
gratifying,positive
worrying,negative
I feel special as everyone loves me becaause of my joyful and helping nature,positive
downturns,negative
violator,negative
hard,negative
smoothes,positive
invalidity,negative
my friends love me and will go to any extent to make me happy,positive
wretched,negative
cure,positive
examplary,positive
egregiously,negative
glowing,positive
downbeat,negative
dependably,positive
infected,negative
inequities,negative
distort,negative
inadverently,negative
delinquency,negative
smiling,positive
ominously,negative
sweetly,positive
picky,negative
titillating,positive
irately,negative
chatterbox,negative
cute,positive
outrages,negative
antagonist,negative
beauty,positive
infamously,negative
miserable,negative
obsessively,negative
sleazy,negative
comical,negative
I hate going to school,negative
daringly,positive
poison,negative
unease,negative
remedy,positive
vomiting,negative
visionary,positive
worth,positive
harmonize,positive
treacherous,negative
asunder,negative
ruins,negative
assuring,positive
sweetness,positive
vengefully,negative
conceit,negative
inspiration,positive
pleasantly,positive
detestable,negative
genial,positive
overjoyed,positive
slogging,negative
crisp,positive
dissatisfactory,negative
carnage,negative
irritated,negative
simplistically,negative
setback,negative
extremists,negative
recoil,negative
restructure,positive
intrusion,negative
rattled,negative
bafflement,negative
I am feeling unconfident,negative
inviolable,positive
hard-working,positive
modest,positive
estranged,negative
pathetic,negative
smuttier,negative
lame-duck,negative
I had a fight,negative
luxuriously,positive
baffle,negative
annoyingly,negative
overbalanced,negative
adulterated,negative
scathingly,negative
helplessness,negative
revulsion,negative
generous,positive
credulous,negative
forebodingly,negative
commotions,negative
peacefully,positive
straighten,positive
undetermined,negative
harsh,negative
pillory,negative
supports,positive
astutely,positive
neurotic,negative
exalting,positive
lag,negative
belligerence,negative
guarantee,positive
subdued,negative
anti-white,negative
objectionable,negative
falsify,negative
I can't do anything without messing up atleast once which I hate about me the most,negative
misgiving,negative
hang,negative
vivid,positive
dastardly,negative
flaws,negative
compactly,positive
bent,negative
disconsolate,negative
mess,negative
greedy,negative
buzzing,negative
congested,negative
clumsy,negative
headway,positive
We moved into a new house,positive
achievable,positive
tramp,negative
disrespectfully,negative
overtaken,positive
narrower,negative
anarchism,negative
entanglement,negative
amiability,positive
honesty,positive
diatribe,negative
mockingly,negative
indiscriminating,negative
outwit,positive
intriguingly,positive
soundly,positive
faults,negative
presumptuously,negative
adored,positive
sick,negative
enviable,positive
struck,negative
I am feeling Awesome,positive
favorite,positive
unipolar,negative
suicidal,negative
infraction,negative
peculiar,negative
abounds,positive
sorrow,negative
kid-friendly,positive
fatcats,negative
bewilderingly,negative
insulting,negative
cuss,negative
vindictiveness,negative
unproves,negative
concen,negative
oversize,negative
squabbling,negative
liked,positive
overweight,negative
I am feeling depressed,negative
I am feeling lucky,positive
sunken,negative
intriguing,positive
inferior,negative
enthusiast,positive
harpy,negative
trouble-free,positive
watered-down,negative
traduce,negative
excellency,positive
embroilment,negative
deplorable,negative
injury,negative
resentful,negative
venerate,positive
hatefully,negative
untouched,negative
stifle,negative
insincerity,negative
lewd,negative
refreshing,positive
pleas,negative
counter-attacks,positive
discriminatory,negative
erratic,negative
pretty,positive
askance,negative
preeminent,positive
I am good for nothing because I do not excel at anything,negative
heathen,negative
rapid,positive
admonishment,negative
impatience,negative
shrivel,negative
unhappily,negative
stricken,negative
regret,negative
joker,negative
impious,negative
displace,negative
dictator,negative
idiotically,negative
lawfully,positive
hegemonism,negative
plot,negative
irk,negative
polluters,negative
embarrass,negative
unlikely,negative
pleasingly,positive
harden,negative
destitution,negative
precisely,positive
weariness,negative
creeping,negative
flareup,negative
judders,negative
cleaner,positive
thrilling,positive
articulate,positive
chaos,negative
nourishment,positive
broken-hearted,negative
entertain,positive
wowing,positive
ideally,positive
cynicism,negative
impress,positive
demise,negative
dunce,negative
appal,negative
worse,negative
willingly,positive
heartening,positive
mad,negative
awe,positive
witty,positive
muddy,negative
I hate myself,negative
gain,positive
resplendent,positive
brainwash,negative
fatty,negative
quandary,negative
burning,negative
irresistibly,positive
brute,negative
hot,positive
premeditated,negative
burns,negative
leading,positive
a+,positive
absurd,negative
admonition,negative
upseting,negative
precariously,negative
harassment,negative
exterminate,negative
peeled,negative
suffocate,negative
denounce,negative
kindness,positive
scandalized,negative
unwilling,negative
abort,negative
blasted,negative
thumbs-down,negative
I feel I had a jolly day today as I had rough days recently but today was very good day as I met the cutest puppy on the road and played with it for hours,positive
involuntarily,negative
lambast,negative
supple,positive
clog,negative
discordant,negative
unreal,positive
casualty,negative
I am feeling lazy,negative
kills,negative
zealous,negative
unbearablely,negative
courageous,positive
tangle,negative
conflicting,negative
berserk,negative
halfhearted,negative
comfortable,positive
deny,negative
I am feeling hopeful after my results came in which I was expecting a very low score but after seeing my score I saw there is a scopre of improvements ,positive
one-sided,negative
blandish,negative
legendary,positive
paralyzed,negative
unrelenting,negative
coupists,negative
admonisher,negative
agility,positive
courteous,positive
I lost my phone and wallet today in the bus,negative
breathtakingly,positive
enthralled,positive
orphan,negative
torturing,negative
overbalance,negative
breakthrough,positive
terrifically,positive
deserving,positive
doggedly,negative
undisputably,positive
zapped,negative
deceit,negative
congenial,positive
snobbish,negative
scorching,negative
admiration,positive
spoilled,negative
daring,positive
humour,positive
ploy,negative
glimmering,positive
blithe,positive
intelligible,positive
crisis,negative
I am on cloud nine,positive
dirts,negative
disapointing,negative
grumpier,negative
addicting,negative
improves,positive
well-regarded,positive
ergonomical,positive
quack,negative
batty,negative
corrosions,negative
skeptical,negative
irrationality,negative
molest,negative
ineloquent,negative
finest,positive
dauntless,positive
floored,negative
feverish,negative
infringe,negative
shady,negative
I met my aunt today and i feel so good,positive
farcical,negative
misgivings,negative
long-time,negative
deprave,negative
maliciousness,negative
issue,negative
ruthlessness,negative
hate,negative
bulkyness,negative
cooperatively,positive
desititute,negative
jubilant,positive
harried,negative
beleaguer,negative
thwart,negative
