response,intent
unconvincing,negative
inflexible,negative
scrambling,negative
defiler,negative
fresher,positive
death,negative
argumentative,negative
annoyed,negative
I am feeling low,negative
infamy,negative
heartily,positive
credulous,negative
hoard,negative
gems,positive
enjoying,positive
anxieties,negative
Everyone was so proud of me,positive
dissolute,negative
delicious,positive
aggressive,negative
jubilation,positive
reckless,negative
dishearteningly,negative
passiveness,negative
battering,negative
kindly,positive
From tomorrow I wont go to school,negative
restored,positive
remedy,positive
vileness,negative
I am not feeling nice,negative
dupe,negative
bleak,negative
fallout,negative
belligerent,negative
unsettled,negative
madman,negative
grouse,negative
procrastinate,negative
abyss,negative
I am feeling relaxed,positive
indeterminate,negative
I got bullied today as I had a different opinion than them,negative
thrift,positive
harbors,negative
appalling,negative
disadvantage,negative
affability,positive
misconception,negative
neatest,positive
hack,negative
exemplary,positive
cataclysmal,negative
substandard,negative
uneconomical,negative
top-quality,positive
demonizing,negative
engrossing,positive
affable,positive
rumbling,negative
interruptions,negative
swiftness,positive
disorganized,negative
soulful,positive
salute,positive
mist,negative
unprove,negative
dissention,negative
peaceable,positive
refusal,negative
boundless,positive
hoodium,negative
deceivers,negative
I am feeling optimistic,positive
drastically,negative
booming,positive
imperfection,negative
suitable,positive
unequivocal,positive
everyone is so happy in my family,positive
criticize,negative
confusion,negative
supportive,positive
picketing,negative
decay,negative
head-aches,negative
corrupt,negative
talents,positive
lucky,positive
work,positive
I got fat shamed today by my classmates in front of the teacher and she did not stop them,negative
paradoxically,negative
mesmerizingly,positive
unthinkable,negative
I am feeling down,negative
profound,positive
sporty,positive
delightful,positive
foolhardy,negative
subsidizes,positive
brutalising,negative
dusty,negative
fortunately,positive
pertinaciously,negative
thumbs-up,positive
noxious,negative
superb,positive
astutely,positive
notoriously,negative
amiabily,positive
agile,positive
soreness,negative
apathetically,negative
trophy,positive
turmoil,negative
prodigious,positive
occluding,negative
nefarious,negative
peach,positive
fruitlessly,negative
indeterminable,negative
stringent,negative
enviously,positive
instructive,positive
sneakily,negative
irk,negative
irregularity,negative
hale,positive
adversary,negative
regreted,negative
inglorious,negative
gravely,negative
cringed,negative
avalanche,negative
gimmicking,negative
mordant,negative
screw-up,negative
perfect,positive
tenderly,positive
I lost in today's match,negative
frazzle,negative
misjudgment,negative
endorsement,positive
snobish,negative
lurch,negative
misapprehend,negative
excelled,positive
embarrassment,negative
dodgey,negative
insolently,negative
astound,positive
marginal,negative
loophole,negative
disintegrate,negative
injudicious,negative
doubtless,positive
distrusting,negative
grievously,negative
jealousness,negative
defender,positive
electrify,positive
losses,negative
belittled,negative
fear,negative
wickedly,negative
blinding,negative
treasonous,negative
inefficacious,negative
dirtbag,negative
loose,negative
prison,negative
punitive,negative
blasphemous,negative
inoperable,negative
agreeably,positive
cliched,negative
stealing,negative
childish,negative
allegation,negative
roomier,positive
mesmerize,positive
frighteningly,negative
accusations,negative
I want to break everything present here,negative
best-selling,positive
losers,negative
rut,negative
litigious,negative
warped,negative
difficulties,negative
blameless,positive
gutless,negative
biting,negative
adulterated,negative
refused,negative
unsure,negative
disinclination,negative
egotism,negative
lesser-known,negative
headaches,negative
inconsistencies,negative
stronger,positive
reasoned,positive
fanatically,negative
expired,negative
loser,negative
evaluative,positive
perversity,negative
irredeemably,negative
defy,negative
unuseably,negative
sinisterly,negative
tamper,negative
funnily,negative
hotcakes,positive
menacing,negative
idyllic,positive
debilitate,negative
slur,negative
ailing,negative
doubt,negative
safely,positive
longing,negative
My friends are the worst in the world ,negative
monstrosities,negative
draining,negative
feign,negative
mighty,positive
lukewarm,negative
stumps,negative
demoralizing,negative
perverted,negative
farcical-yet-provocative,negative
disingenuously,negative
instable,negative
facetious,negative
fervidly,positive
offend,negative
favored,positive
self-sufficient,positive
suave,positive
quarrel,negative
disastrously,negative
pretentious,negative
rail,negative
horrible,negative
effusively,positive
inordinate,negative
ecstatically,positive
stymied,negative
cheerful,positive
misjudge,negative
immobilized,negative
hapless,negative
disruption,negative
un-viewable,negative
bragger,negative
incite,negative
accost,negative
undermines,negative
two-faces,negative
inpressed,positive
nightmarishly,negative
gentle,positive
distorts,negative
chronic,negative
"I am unlucky for people, whereever I go I bring baduck with me",negative
embolden,positive
sensationally,positive
honor,positive
apathetic,negative
satisified,positive
felicitous,positive
eye-catching,positive
refute,negative
intense,negative
erodes,negative
craps,negative
repetitive,negative
Today was a cheerful day due to the fact that all of close friends came to surprise me on my birthday,positive
inviolate,positive
refusing,negative
I was applauded on stage by the whole school,positive
empathy,positive
fantastic,positive
I am feeling manipulative,negative
caustic,negative
arrogance,negative
impatient,negative
doubtfully,negative
dote,positive
junkyard,negative
scarce,negative
steadiness,positive
lame,negative
symptoms,negative
darken,negative
defects,negative
barbarously,negative
twinkly,positive
efficiently,positive
testy,negative
thankful,positive
delusional,negative
reverence,positive
misbecoming,negative
untimely,negative
blister,negative
lifeless,negative
vengefully,negative
terrorism,negative
harmless,positive
scorchingly,negative
spookiest,negative
I am good for nothing because I do not excel at anything,negative
I got a promotion,positive
fatigue,negative
wretch,negative
perfunctory,negative
sloppily,negative
dissatisfies,negative
aground,negative
capricious,negative
backbiting,negative
dunce,negative
I am feeling blessed,positive
immoderately,negative
magnificent,positive
catchy,positive
impossible,negative
prideful,negative
sadden,negative
self-satisfaction,positive
My friends laughed at my dark skin,negative
stirringly,positive
fetid,negative
failures,negative
I am proud of myself for investing in bitcoins,positive
I am an liability as I am of no use to anyone and everyone just tolerate me,negative
likable,positive
debasement,negative
repression,negative
stereotypical,negative
objectionable,negative
stylish,positive
lure,negative
blunder,negative
disallow,negative
warlike,negative
proud,positive
downheartedly,negative
impotent,negative
spite,negative
hilarious,positive
ill-used,negative
traped,negative
cracked,negative
dashing,positive
incoherence,negative
ineffectual,negative
confined,negative
tacky,negative
conciliate,positive
I got beaten up by some boys today at school,negative
advocates,positive
agonizingly,negative
violently,negative
killing,negative
elatedly,positive
unsteadily,negative
hothead,negative
endorses,positive
unselfish,positive
victimize,negative
2-faces,negative
peppy,positive
intricate,positive
downcast,negative
reprehensive,negative
helpful,positive
poky,negative
inordinately,negative
renaissance,positive
helplessly,negative
counter-productive,negative
gumption,positive
grievous,negative
paramount,positive
confusing,negative
falling,negative
devoid,negative
audaciously,negative
top-heavy,negative
navigable,positive
eulogize,positive
commiserate,negative
thwart,negative
attack,negative
haughtily,negative
prejudicial,negative
loot,negative
heckle,negative
I can't make anyone happy because I am not charming and wherever I go I just bring badluck,negative
riled,negative
overtaxed,negative
greed,negative
alarming,negative
lying,negative
infested,negative
reprove,negative
dinky,negative
I am feeling rich,positive
scariest,negative
bait,negative
masterful,positive
flaunt,negative
jittery,negative
contaminated,negative
acridly,negative
sueing,negative
brilliant,positive
radically,negative
demon,negative
greatness,positive
pleased,positive
faithfully,positive
fatuously,negative
delicacy,positive
unintelligible,negative
bristle,negative
imperiously,negative
incompatability,negative
nauseating,negative
tarnishes,negative
virulent,negative
astonishingly,positive
vengeance,negative
vivid,positive
miseries,negative
convenient,positive
brighter,positive
Today was waste day as nothing productive came out of it,negative
audiciously,negative
upbraid,negative
audibly,positive
preeminent,positive
challenging,negative
retreat,negative
first-rate,positive
rape,negative
i met my bestfriend today and we had a fight,negative
My boss applauded me,positive
tramp,negative
I feel invincible.,positive
interruption,negative
dispirited,negative
famished,negative
hung,negative
charm,positive
affluence,positive
leery,negative
skill,positive
great,positive
I want to resign from my office as my boss sucks,negative
adamant,negative
exonerate,positive
It is so amazing to go out with family,positive
fatalistic,negative
euphoria,positive
well-mannered,positive
available,positive
miscalculate,negative
handily,positive
outrageousness,negative
menial,negative
pampered,positive
tired,negative
insensitively,negative
clever,positive
diligently,positive
conveniently,positive
daze,negative
unspeakablely,negative
scam,negative
devastates,negative
excitedness,positive
lied,negative
I don’t know why my friends behave so bad with me?,negative
craze,negative
oversights,negative
entanglement,negative
I am feeling judged,negative
gain,positive
no one likes me because of my economic status and no one wants to talk to me also,negative
miraculousness,positive
mercy,positive
slumpping,negative
exagerated,negative
pointlessly,negative
wicked,negative
suffers,negative
unquestionably,positive
appreciate,positive
undocumented,negative
ignominiously,negative
brainless,negative
skeptically,negative
evils,negative
revolting,negative
frugal,positive
good,positive
overwhelms,negative
illustrious,positive
outrages,negative
sucky,negative
ergonomical,positive
crumble,negative
cheerless,negative
catastrophically,negative
oversimplified,negative
allergies,negative
congratulations,positive
flashy,positive
contaminates,negative
purify,positive
repress,negative
setbacks,negative
insignificance,negative
lavishly,positive
foolish,negative
well-run,positive
geeky,positive
fastest,positive
noisy,negative
swelling,negative
envious,negative
deluded,negative
succes,positive
disintegration,negative
picturesque,positive
redundancy,negative
insufficiency,negative
stalemate,negative
cruelly,negative
denunciate,negative
revert,negative
flagging,negative
blind,negative
inhuman,negative
shrill,negative
musty,negative
destains,negative
glower,negative
enthrall,positive
vexation,negative
angriness,negative
rightly,positive
strangle,negative
malady,negative
overpower,negative
jeopardy,negative
chill,negative
archaic,negative
adulteration,negative
fraught,negative
repressive,negative
revolutionary,positive
outshine,positive
infected,negative
immaculately,positive
pales,negative
stumped,negative
lawless,negative
bleed,negative
loathing,negative
striving,positive
protective,positive
idiocy,negative
insincerely,negative
clog,negative
"I was very, very sad to part with all of my friends",negative
well-connected,positive
maneuverable,positive
smartly,positive
wastefulness,negative
savings,positive
softer,positive
flickering,negative
indecency,negative
pain-free,positive
extravagantly,negative
bug,negative
enthusiasm,positive
intermittent,negative
gibber,negative
I am feeling heartbroken,negative
debacle,negative
devilish,negative
atrocity,negative
revelation,positive
I got my results today and it was not good,negative
midget,negative
bicker,negative
exploitation,negative
insufficiently,negative
dominates,positive
crabby,negative
awful,negative
condemn,negative
I cannot concerntrate in my studies due to constant fights with my friends,negative
thrash,negative
perseverance,positive
I like the way my teacher teaches me,positive
hellion,negative
unmoved,negative
glorious,positive
charmingly,positive
devastate,negative
laid-off,negative
mortified,negative
slogging,negative
miraculously,positive
overblown,negative
epidemic,negative
barbarian,negative
polution,negative
nimble,positive
painfully,negative
lustrous,positive
snappishly,negative
I am jealous of that guy as he has my favourite and dream phone,negative
efficacious,positive
brilliance,positive
outstanding,positive
discriminate,negative
capriciousness,negative
wonderfully,positive
fury,negative
grate,negative
led,positive
despotic,negative
adequate,positive
implausible,negative
intelligible,positive
